,type,keyLen,filesize,time
0,RSA_encryption,1024,201,13.153148889541626
0,RSA_encryption,2048,329,4.537703990936279
0,RSA_encryption,4096,585,9.099114418029785
0,RSA_decryption,1024,201,0.23659443855285645
0,RSA_decryption,2048,329,0.14961600303649902
0,RSA_decryption,4096,585,0.21894073486328125
0,AES_Encryption,16,68,1.5362024307250977
0,AES_decryption,16,68,4.0106422901153564
0,AES_Encryption,16,68,2.9251670837402344
0,AES_Encryption,32,68,1.3107514381408691
0,AES_Encryption,16,68,4.379730463027954
0,AES_Encryption,16,112,1.3864259719848633
0,AES_Encryption,32,112,3.034863233566284
0,AES_Encryption,24,112,1.3780925273895264
0,AES_Encryption,32,112,1.3073441982269287
0,AES_Encryption,16,118,1.25007963180542
0,AES_Encryption,16,112,0.02791309356689453
0,AES_Encryption,24,112,0.021222829818725586
0,AES_Encryption,32,112,0.02920699119567871
0,AES_Encryption,16,118,0.02671980857849121
0,AES_Encryption,24,118,0.024074316024780273
0,AES_Encryption,32,118,0.025725841522216797
